Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
RE MAX 1st Choice,Condo,685000,2,2,2184,Forest Hills,"64-34 Grand Central Pkwy Unit 1BForest Hills, NY 11375",QUEENS,40.7332174,-73.8448704,11375
Corcoran West Side,Co-op,4500000,2,2,1800,New York,"65 Central Park W Apt 12BNew York, NY 10023",MANHATTAN,40.7727705,-73.9787651,10023
"BEN BAY REALTY, CO.",Multi-family home,779000,3,2,1540,Brooklyn,"2369 Bragg StBrooklyn, NY 11229",MANHATTAN,40.5949347,-73.9347766,11229
Julia B. Fee Sotheby's International Realty,House,640000,3,2,1224,Bronx,"944 Duncan StBronx, NY 10469",MANHATTAN,40.8729069,-73.8596638,10469
East Coast REALTORS Inc,Co-op,449000,2,2,1200,Bayside,"23-45 Bell Blvd Unit 2BBayside, NY 11360",QUEENS,40.7812626,-73.7745671,11360
COMPASS,Co-op,1100000,2,1,2184,Brooklyn,"1209 8th Ave Apt 4RBrooklyn, NY 11215",BROOKLYN,40.6634878,-73.9807302,11215
ACKERMAN VLADA,Condo,550000,3,2,2184,Brooklyn,"702 Ocean Pkwy Apt 1ABrooklyn, NY 11230",BROOKLYN,40.6310935,-73.9723541,11230
Citywide Deals,Condo,1899000,3,2,1900,Brooklyn,"105 Oceana Dr E Ph 1DBrooklyn, NY 11235",BROOKLYN,40.5763957,-73.9575654,11235
Jadestone Development Realty Llc,House,599900,3,2,1204,Staten Island,"3774 Hylan BlvdStaten Island, NY 10308",MANHATTAN,40.5466066,-74.1406837,10308
Corcoran East Side,Townhouse,22500000,4,2,4000,New York,"22 Bank StNew York, NY 10014",MANHATTAN,40.7368312,-74.0024003,10014
Kaloshi Real Estate Inc,House,739000,2,2,1473,Brooklyn,"19 Alton PlBrooklyn, NY 11210",MANHATTAN,40.6241803,-73.9375665,11210
Douglas Elliman,Condo,7995000,3,4,2184,New York,"101 W 67th St Ph 1DNew York, NY 10023",MANHATTAN,40.7745073,-73.981428,10023
COMPASS,Co-op,1425000,2,2,2184,Manhattan,"124 Thompson St Unit 23/24Manhattan, NY 10012",MANHATTAN,40.7261696,-74.0013901,10012
Century Homes Realty Group LLC,Multi-family home,749000,4,2,2184,Flushing,"154-12 65th AveFlushing, NY 11367",MANHATTAN,40.7369795,-73.8140379,11367
Jamie & Connie Real Estate Grp,Condo,548000,1,1,950,Flushing,"144-85 Roosevelt Ave Unit 5EFlushing, NY 11354",QUEENS,40.7626705,-73.8191386,11354
Sotheby's International Realty,Condo,950000,1,1,560,New York,"323 E 53rd Street Ter Ste BNew York, NY 10022",MANHATTAN,40.7564316,-73.9660912,10022
Douglas Elliman,Pending,399000,1,1,2184,Kew Garden Hills,"6939A Park Dr E Unit AKew Garden Hills, NY 11367",MANHATTAN,40.7231998,-73.8267722,11367
Brown Harris Stevens,Co-op,1460000,2,2,2184,Manhattan,"1060 Park Avenue Ave Unit 2GManhattan, NY 10128",MANHATTAN,40.7812136,-73.9570373,10128
Showcase Realty Inc,Co-op,269000,3,1,2184,Flushing,"144-11 Sanford Ave Unit 6LFlushing, NY 11355",QUEENS,40.7592939,-73.8203855,11355
Corcoran East Side,Condo,1695000,1,2,1072,Brooklyn,"70 Washington St Ph RBrooklyn, NY 11201",MANHATTAN,40.7020349,-73.9899069,11201
COMPASS,Co-op,155000,3,1,2184,Brooklyn,"1275 E 51st St Apt 5ZBrooklyn, NY 11234",BROOKLYN,40.6299057,-73.9265933,11234
Compass Greater NY LLC,Co-op,449000,2,1,764,Glen Oaks,"261-36 Langston Ave Unit 2NDGlen Oaks, NY 11004",QUEENS,40.7526861,-73.7166669,11004
Corcoran Park Avenue South,Pending,825000,2,2,930,New York,"41-18 27th St Apt 1ANew York, NY 11101",QUEENS,40.7515161,-73.9389442,11101
"Pamela Lee, Realtor",House,690000,2,2,1500,Brooklyn,"1060 E 52nd StBrooklyn, NY 11234",MANHATTAN,40.6342245,-73.9268315,11234
RE MAX Real Estate Professionals,House,1499000,5,2,2088,Brooklyn,"1914 Bay Ridge AveBrooklyn, NY 11204",MANHATTAN,40.6151781,-73.9901308,11204
Serhant,Co-op,795000,2,1,2184,Brooklyn,"651 Vanderbilt St Apt 7KBrooklyn, NY 11218",BROOKLYN,40.654461,-73.9744629,11218
J. Sikar Realty,Co-op,300000,2,1,800,Brooklyn,"2620 Ocean Pkwy Apt 3FBrooklyn, NY 11235",BROOKLYN,40.5860215,-73.9668364,11235
Corcoran East Side,Condo,1100000,2,2,2184,New York,"77 W 55th St # 2AKNew York, NY 10019",MANHATTAN,40.7630485,-73.9776229,10019
Douglas Elliman,Condo,5000000,2,2,1780,New York,"641 Fifth Ave Unit 42HNew York, NY 10022",MANHATTAN,40.7592091,-73.9760875,10022
Douglas Elliman,House,2500000,8,4,6425,Brooklyn,"14 Stuyvesant AveBrooklyn, NY 11221",MANHATTAN,40.6960918,-73.9349507,11221
COMPASS,Condo,425000,1,1,603,Brooklyn,"640 Ditmas Ave Apt 29Brooklyn, NY 11218",BROOKLYN,40.6360061,-73.971649,11218
COMPASS,Co-op,280000,3,1,2184,Manhattan,"25 Tudor City Pl Apt 2006Manhattan, NY 10017",MANHATTAN,40.7486808,-73.9705383,10017
RE MAX Edge,House,1149000,3,2,1660,Brooklyn,"1714 E 29th StBrooklyn, NY 11229",MANHATTAN,40.6093215,-73.9448683,11229
The Co,Co-op,410000,2,2,2184,Forest Hills,"110-55 72nd Rd Unit 309Forest Hills, NY 11375",QUEENS,40.7203199,-73.84052,11375
Sany Realty Group Llc,Co-op,268000,1,1,660,Flushing,"26-25 141 St Unit 5AFlushing, NY 11354",QUEENS,40.7739672,-73.8277862,11354
Brown Harris Stevens,Co-op,6000000,4,4,2184,Manhattan,"480 Park Avenue Ave Unit 18HManhattan, NY 10022",MANHATTAN,40.7625546,-73.9703842,10022
Sotheby's International Realty,Co-op,4650000,3,3,2184,New York,"150 Central Park SNew York, NY 10019",MANHATTAN,40.7661258,-73.9779145,10019
Corcoran East Side,House,24500000,6,8,8400,New York,"52 E 66th StNew York, NY 10065",MANHATTAN,40.7675628,-73.967656,10065
