Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
Douglas Elliman,Condo,315000,2,2,1400,New York,"2 E 55th St Unit 803New York, NY 10022",MANHATTAN,40.761255,-73.9744834,10022
Serhant,Condo,195000000,7,10,17545,New York,"Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",MANHATTAN,40.7663935,-73.9809909,10019
Sowae Corp,House,260000,4,2,2015,Staten Island,"620 Sinclair AveStaten Island, NY 10312",MANHATTAN,40.5418051,-74.1961086,10312
COMPASS,Condo,69000,3,1,445,Manhattan,"2 E 55th St Unit 908W33Manhattan, NY 10022",MANHATTAN,40.7613979,-73.9746128,10022
Sotheby's International Realty,Townhouse,55000000,7,2,14175,New York,"5 E 64th StNew York, NY 10065",MANHATTAN,40.7672235,-73.9698561,10065
Sowae Corp,House,690000,5,2,4004,Brooklyn,"584 Park PlBrooklyn, NY 11238",MANHATTAN,40.6743632,-73.9587248,11238
Douglas Elliman,Condo,899500,2,2,2184,New York,"157 W 126th St Unit 1BNew York, NY 10027",MANHATTAN,40.809448,-73.946777,10027
Connie Profaci Realty,House,16800000,8,16,33000,Staten Island,"177 Benedict RdStaten Island, NY 10304",MANHATTAN,40.5950017,-74.1064235,10304
Pantiga Group Inc.,Co-op,265000,1,1,750,Bronx,"875 Morrison Ave Apt 3MBronx, NY 10473",BRONX,40.8215857,-73.8740892,10473
CENTURY 21 MK Realty,Co-op,440000,2,1,978,Brooklyn,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",BROOKLYN,40.6157378,-73.9696944,11230
Engel & Volkers Americas,Co-op,375000,2,1,850,Bronx,"800 Grand Concourse Apt 2JSBronx, NY 10451",BRONX,40.8248699,-73.9229829,10451
Re/Max Edge,Townhouse,689000,3,2,1162,Staten Island,"456 Van Name AveStaten Island, NY 10303",MANHATTAN,40.6249962,-74.1553058,10303
COMPASS,Co-op,259000,3,1,2184,Jackson Heights,"34-41 85th St Unit 1DJackson Heights, NY 11372",QUEENS,40.7531191,-73.8818757,11372
Jamie & Connie Real Estate Grp,Co-op,430000,2,2,2184,Elmhurst,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",QUEENS,40.7438639,-73.8745722,11373
Corcoran Chelsea/Flatiron,Co-op,895000,3,1,2184,New York,"61 Jane St Apt 6NNew York, NY 10014",MANHATTAN,40.7382981,-74.0058899,10014
Awaye Realty,Condo,549000,2,2,1000,Staten Island,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",STATEN_ISLAND,40.5406209,-74.1671632,10312
Realty Executives Today,Townhouse,975000,3,2,1734,Woodside,"28-31 Hobart StWoodside, NY 11377",MANHATTAN,40.7607676,-73.9056672,11377
Dorsa Group Realty,Co-op,199000,3,1,325,Brooklyn,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",BROOKLYN,40.6181029,-74.0369047,11209
Coldwell Banker Realty,Co-op,350000,1,1,700,Bronx,"5800 Arlington Ave Apt 21ABronx, NY 10471",BRONX,40.9073699,-73.9065578,10471
Keller Williams Rlty Landmark,Condo,599000,2,2,974,Rego Park,"92-29 Queens Blvd Unit 3HRego Park, NY 11374",QUEENS,40.7324713,-73.8670804,11374
Radiant Estates LLC,House,639999,3,2,1260,Staten Island,"27 Clove WayStaten Island, NY 10301",MANHATTAN,40.6207403,-74.1114362,10301
"Apaus, Inc",Condo,1300000,2,2,1244,Forest Hills,"10724 71st Rd Apt 9FForest Hills, NY 11375",QUEENS,40.7202429,-73.8430513,11375
Keller Williams Ny Realty,Multi-family home,1100000,6,3,2837,Bronx,"1038 Throggs Neck Expy Unit SrBronx, NY 10465",MANHATTAN,40.8343936,-73.8221101,10465
Martino Realty Group,Condo,349900,1,1,651,Staten Island,"165 Cromwell Ave Apt 2BStaten Island, NY 10304",STATEN_ISLAND,40.5902064,-74.0958034,10304
Elizabeth Marra,House,750000,2,2,1330,Staten Island,"280 Loretto StStaten Island, NY 10307",MANHATTAN,40.5039785,-74.2396555,10307
CENTURY 21 Milestone Realty,Multi-family home,1690000,6,4,2200,Briarwood,"149-07 85 RdBriarwood, NY 11435",MANHATTAN,40.710749,-73.809486,11435
"Nest Seekers International, Long Island",Co-op,325000,1,1,2184,Queens,"35-45 81st St Unit E1Queens, NY 11372",QUEENS,40.7505078,-73.8851355,11372
Du Chris Realty,Co-op,230000,1,1,2184,Jackson Heights,"33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",MANHATTAN,40.7557689,-73.8734231,11372
Ashford Homes,Multi-family home,1299888,10,6,3156,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",STATEN_ISLAND,40.6155667,-74.0869554,10304
NoBroker,Multi-family home,925000,5,2,2750,Bronx,"543 Hollywood AveBronx, NY 10465",MANHATTAN,40.8242389,-73.8173809,10465
Get Listed Get Sold NYC,Condo,329000,1,2,794,Staten Island,"47 Lynn CtStaten Island, NY 10314",MANHATTAN,40.6210398,-74.1504313,10314
RJM Realty Empire Inc.,Multi-family home,1300000,10,8,5040,Staten Island,"366 Union Ave Unit 4Staten Island, NY 10303",STATEN_ISLAND,40.6274381,-74.1581613,10303
RE MAX Edge,Multi-family home,848000,5,4,2080,Brooklyn,"544 Hinsdale StBrooklyn, NY 11207",MANHATTAN,40.6615475,-73.898309,11207
H P Greenfield Real Estate Ltd,Co-op,279000,1,1,750,Brooklyn,"1801 Ocean Ave Apt 4ABrooklyn, NY 11230",BROOKLYN,40.6179165,-73.9546305,11230
Ashford Homes LLC,Condo,528000,1,1,602,Brooklyn,"1238 63rd St Unit 432Brooklyn, NY 11219",BROOKLYN,40.6275896,-74.0016198,11219
Ashford Homes,Multi-family home,1299888,11,4,3156,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",STATEN_ISLAND,40.6155667,-74.0869554,10304
E Realty International Corp,Co-op,275000,1,1,2184,Flushing,"44-55 Kissena Blvd Unit 5FFlushing, NY 11355",QUEENS,40.7528774,-73.8211834,11355
Corcoran Park Slope,Condo,1165000,1,1,815,Brooklyn,"338 Berry St Apt 4EBrooklyn, NY 11249",BROOKLYN,40.711969,-73.9649468,11249
Staten Island Homes Realty Corp,Multi-family home,1199000,6,5,3290,Staten Island,"10 Simon CtStaten Island, NY 10307",MANHATTAN,40.5159256,-74.2361135,10307
Exp Realty,Multi-family home,700000,6,2,3053,Bronx,"229 W Tremont Ave Unit ABronx, NY 10453",MANHATTAN,40.852813,-73.9176871,10453
Century 21 Realty First,Multi-family home,2150000,8,4,3200,Brooklyn,"2226 63rd StBrooklyn, NY 11204",MANHATTAN,40.614446,-73.9795824,11204
E Realty International Corp,Multi-family home,1280000,7,5,2460,Woodhaven,"86-05 91st AveWoodhaven, NY 11421",MANHATTAN,40.688312,-73.856322,11421
Brown Harris Stevens,Co-op,199900,1,1,2184,Bronx,"828 Gerard Ave Apt 5FBronx, NY 10451",BRONX,40.8260352,-73.9256625,10451
Winzone Realty Inc,Co-op,369000,2,1,2184,Flushing,"43-40 Union St Unit 3DFlushing, NY 11355",QUEENS,40.753455,-73.8209077,11355
Prestige Homes Ny Inc,Multi-family home,699000,4,3,1591,Jamaica,"111-31 141st StJamaica, NY 11435",MANHATTAN,40.6847504,-73.8027331,11435
Brown Harris Stevens,Co-op,4250000,3,2,2400,Manhattan,"123 Prince St Unit 1Manhattan, NY 10012",MANHATTAN,40.725464,-73.9999212,10012
Weichert Realtors TMT Group,Multi-family home,825000,2,2,2184,Flushing,"32-39 Jordan StFlushing, NY 11358",MANHATTAN,40.768457,-73.789417,11358
American Homes Group,Condo,329000,2,1,837,Staten Island,"55 Austin Pl Apt 4LStaten Island, NY 10304",STATEN_ISLAND,40.6315346,-74.0856344,10304
Wonica REALTORS & Appraisers,Multi-family home,889000,2,2,1520,Staten Island,"17 S Greenleaf AveStaten Island, NY 10314",MANHATTAN,40.6233188,-74.1259917,10314
First Class Homes Inc,Multi-family home,769000,2,2,2184,Richmond Hill South,"101-55 112th StRichmond Hill South, NY 11419",MANHATTAN,40.6868333,-73.8309133,11419
eXp Realty BKNY,Multi-family home,1200000,4,2,2536,Brooklyn,"66 Bay 22nd StBrooklyn, NY 11214",MANHATTAN,40.6042861,-74.0012526,11214
VYLLA HOME,Co-op,220500,2,1,900,Staten Island,"350 Richmond Ter Apt 3MStaten Island, NY 10301",STATEN_ISLAND,40.6481488,-74.0847983,10301
RE MAX Edge,Multi-family home,1999000,3,3,2739,Brooklyn,"259 80th StBrooklyn, NY 11209",MANHATTAN,40.6281691,-74.0297598,11209
Douglas Elliman,Co-op,3250000,2,2,1300,New York,"240 Centre St Unit 2MNew York, NY 10013",MANHATTAN,40.7199716,-73.9980266,10013
Douglas Elliman,Condo,1650000,2,2,1267,Brooklyn,"473 Hicks St Apt 4Brooklyn, NY 11231",BROOKLYN,40.6866098,-73.9997131,11231
"Homes R Us Realty of NY, Inc.",Multi-family home,1049000,4,4,2554,Staten Island,"342 Manhattan StStaten Island, NY 10307",MANHATTAN,40.5016233,-74.2417531,10307
American Homes Group,House,998800,3,4,2400,Staten Island,"1191 Clove RdStaten Island, NY 10301",MANHATTAN,40.6175,-74.103996,10301
DEGI,For sale,3150000,3,2,1952,Brooklyn,"184 Lincoln Pl Unit 2Brooklyn, NY 11217",BROOKLYN,40.6754035,-73.9742051,11217
Brown Harris Stevens,Co-op,849000,1,1,2184,Manhattan,"263 W End Ave Apt 14CManhattan, NY 10023",MANHATTAN,40.7802357,-73.9846328,10023
Piastro Realty LLC,Co-op,559500,1,1,800,Brooklyn,"50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",BROOKLYN,40.5751942,-73.9669983,11235
Douglas Elliman,Co-op,750000,1,1,835,New York,"333 E 66th St Apt 8ENew York, NY 10065",MANHATTAN,40.7643711,-73.9593578,10065
Douglas Elliman,Condo,1900000,2,2,1029,New York,"150 Rivington St Apt 3GNew York, NY 10002",MANHATTAN,40.7193408,-73.9856438,10002
Corcoran Williamsburg Bedford,Condo,1250000,2,2,1201,Brooklyn,"1105 Cortelyou Rd # 301Brooklyn, NY 11218",BROOKLYN,40.6400234,-73.9676099,11218
COMPASS,Condo,1395000,2,2,1182,Brooklyn,"737 Bergen St Apt 1BBrooklyn, NY 11238",BROOKLYN,40.6787789,-73.9643728,11238
Monticello Real Estate Group,Co-op,198000,1,1,2184,Woodhaven,"83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",QUEENS,40.700309,-73.8535466,11421
Better Homes and Gardens Real Estate Safari Realty,Contingent,619888,3,2,1400,Staten Island,"35 Center PlStaten Island, NY 10306",MANHATTAN,40.5632116,-74.1002521,10306
Ashford Homes,Multi-family home,1489000,6,2,3780,Staten Island,"205 Wiman AveStaten Island, NY 10308",MANHATTAN,40.5395319,-74.1450877,10308
Sotheby's International Realty,Townhouse,65000000,3,2,15200,New York,"4 E 79th StNew York, NY 10075",MANHATTAN,40.7765613,-73.9633167,10075
Serhant,Condo,1595000,3,3,1413,Brooklyn,"924 Lafayette Ave Unit PhBrooklyn, NY 11221",MANHATTAN,40.6915139,-73.935444,11221
Douglas Elliman,Condo,655000,3,2,803,Brooklyn,"1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",MANHATTAN,40.6967268,-73.9074036,11237
Serhant,Condo,1175000,2,2,1115,Brooklyn,"924 Lafayette Ave Apt 2Brooklyn, NY 11221",BROOKLYN,40.6915139,-73.935444,11221
E Realty International Corp,Multi-family home,2880000,9,2,2350,Whitestone,"16-33 166th StWhitestone, NY 11357",MANHATTAN,40.7832094,-73.7967588,11357
Momentum Real Estate LLC,Multi-family home,798000,3,4,2150,Staten Island,"425 Father Capodanno BlvdStaten Island, NY 10305",MANHATTAN,40.5874844,-74.0701056,10305
"Apaus, Inc",Land,1685000,3,2,2184,Ridgewood,"519 Fairview AveRidgewood, NY 11385",MANHATTAN,40.7083434,-73.9081614,11385
Corcoran Chelsea/Flatiron,Condo,31000000,3,4,4492,New York,"111 W 57th St # 50New York, NY 10019",MANHATTAN,40.764953,-73.977568,10019
"Dom Realty, Inc",Land,2550000,3,2,2184,Brooklyn,"234 Ocean View AveBrooklyn, NY 11235",MANHATTAN,40.5785288,-73.9655666,11235
Meyers Enterprise Realty Group,Land,119000,3,2,2184,Bronx,"3652 DE Reimer AveBronx, NY 10466",MANHATTAN,40.8841699,-73.8388387,10466
Gosen Properties Inc,Foreclosure,269000,5,2,2184,Rosedale,"24149 148th DrRosedale, NY 11422",MANHATTAN,40.6534433,-73.741373,11422
Douglas Elliman,Condo,1650000,2,2,1065,New York,"200 E 94th St Apt 414New York, NY 10128",MANHATTAN,40.7833546,-73.9499982,10128
Douglas Elliman,Condo,1650000,2,2,1065,New York,"200 E 94th St Apt 414New York, NY 10128",MANHATTAN,40.7833546,-73.9499982,10128
COMPASS,Townhouse,12950000,5,4,3344,Manhattan,"214 W 11th StManhattan, NY 10014",MANHATTAN,40.7363219,-74.0018035,10014
Brown Harris Stevens,Condo,5750000,3,2,2223,Manhattan,"250 E 21st St Unit 12BManhattan, NY 10010",MANHATTAN,40.736608,-73.9822819,10010
Sowae Corp,Multi-family home,250000,5,2,2184,Jamaica,"130-24 150th StJamaica, NY 11436",MANHATTAN,40.66911,-73.789339,11436
Charles Rutenberg Realty Inc,Pending,950000,6,2,3384,Jamaica,"254-06 Craft Ave Unit 2Jamaica, NY 11422",QUEENS,40.6499031,-73.7354706,11422
Keller Williams Realty Empire,House,585000,3,2,1100,Staten Island,"192 Colfax AveStaten Island, NY 10306",MANHATTAN,40.5784263,-74.105437,10306
BROWN HARRIS STEVENS BROOKLYN LLC,House,8750000,6,6,2184,Brooklyn,"8200 Narrows AveBrooklyn, NY 11209",MANHATTAN,40.6282935,-74.0379695,11209
"Tom Marco Real Estate, Inc.",House,595000,3,1,1316,Brooklyn,"1509 E 48th StBrooklyn, NY 11234",MANHATTAN,40.6239146,-73.9291226,11234
Engel & Volkers Brownstone Brooklyn,Condo,215000,1,1,625,New York,"195 Prince St Unit 1LLNew York, NY 10012",MANHATTAN,40.7267732,-74.002538,10012
Built by Toll Brothers,For sale,950000,1,1,621,New York,"The Rockwell # 3ANew York, NY 10025",MANHATTAN,40.7986579,-73.9679035,10025
Sowae Corp,House,314000,3,1,1572,Brooklyn,"850 E 39th StBrooklyn, NY 11210",MANHATTAN,40.6362368,-73.939679,11210
Brown Harris Stevens,Condo,395000,5,1,1000,Manhattan,"110 E 71st St Unit MedicalManhattan, NY 10021",MANHATTAN,40.7700395,-73.9638872,10021
Prospes Real Estate Corp,Multi-family home,600000,2,2,2184,Bronx,"1406 Mac Donough PlBronx, NY 10465",MANHATTAN,40.8429545,-73.8249591,10465
EXP Realty,Multi-family home,790000,6,3,2520,Staten Island,"78 Mountainview AveStaten Island, NY 10314",MANHATTAN,40.6105856,-74.1268175,10314
STROFFOLINO REALTY LLC,Co-op,539000,2,2,1100,Brooklyn,"9425 Shore Rd Apt 4FBrooklyn, NY 11209",BROOKLYN,40.6170731,-74.0383836,11209
Douglas Elliman,Co-op,1295000,4,2,1995,Bronx,"2501 Palisade Ave Apt H2Bronx, NY 10463",BRONX,40.8809873,-73.9224337,10463
Sowae Corp,House,245000,3,1,2184,Bronx,"2942 Lurting AveBronx, NY 10469",MANHATTAN,40.8690109,-73.8564445,10469
Americas Real Estate Advisors,House,400000,7,3,2385,Bronx,"340 E 234th StBronx, NY 10470",MANHATTAN,40.8969146,-73.8654984,10470
Douglas Elliman,House,55000000,8,8,12000,New York,"25 Riverside DrNew York, NY 10023",MANHATTAN,40.782238,-73.9846322,10023
Brown Harris Stevens,Co-op,280000,1,1,1000,Brooklyn,"8015 6th Ave Apt A1Brooklyn, NY 11209",BROOKLYN,40.6241766,-74.0216837,11209
Top Choice Realty LLC,House,899000,3,2,1440,Staten Island,"40 Adelphi AveStaten Island, NY 10309",MANHATTAN,40.5159004,-74.2314825,10309
Built by Toll Brothers,For sale,2280000,2,2,1400,New York,"The Rockwell # 6ENew York, NY 10025",MANHATTAN,40.7986579,-73.9679035,10025
Cross Country Realty,Coming Soon,649000,4,3,2184,Brooklyn,"194 Carroll StBrooklyn, NY 11231",MANHATTAN,40.6813429,-73.9981509,11231
Charles Rutenberg Realty Inc,Pending,739000,6,4,2184,Brooklyn,"38 Dare CtBrooklyn, NY 11229",MANHATTAN,40.5877991,-73.9216187,11229
AmeriHomes Realty,House,1495000,4,2,3000,Staten Island,"31 4th CtStaten Island, NY 10312",MANHATTAN,40.5247627,-74.1681035,10312
Douglas Elliman,House,3950000,5,2,3528,Brooklyn,"591 4th StBrooklyn, NY 11215",MANHATTAN,40.6680619,-73.9748375,11215
Avenues,Condo,325000,2,1,979,New York,"122 E 102nd St Apt 5BNew York, NY 10029",MANHATTAN,40.7897507,-73.9487257,10029
Corcoran Chelsea/Flatiron,Pending,299999,3,1,2184,New York,"215 W 75th St Apt 4DNew York, NY 10023",MANHATTAN,40.7810583,-73.9808407,10023
Sotheby's International Realty,Townhouse,2695000,6,5,4720,New York,"327 Convent AveNew York, NY 10031",MANHATTAN,40.8235127,-73.9467514,10031
NoBroker,Pending,4800000,6,2,3958,Brooklyn,"1151 83rd StBrooklyn, NY 11228",MANHATTAN,40.6178184,-74.0151165,11228
Compass Realty Central Inc.,House,694000,3,3,1360,Staten Island,"364 Armstrong AveStaten Island, NY 10308",MANHATTAN,40.5423126,-74.1555672,10308
Douglas Elliman,House,688888,4,2,2846,Bronx,"761 S Oak DrBronx, NY 10467",MANHATTAN,40.8726182,-73.8651768,10467
Sowae Corp,House,400000,4,2,1980,Brooklyn,"781 Sheperd AveBrooklyn, NY 11208",MANHATTAN,40.665357,-73.8770867,11208
Sowae Corp,Multi-family home,346000,5,2,2184,Ozone Park,"103-12 104th StOzone Park, NY 11417",MANHATTAN,40.6837891,-73.8381042,11417
Sowae Corp,House,400000,4,2,1980,Brooklyn,"781 Sheperd AveBrooklyn, NY 11208",MANHATTAN,40.665357,-73.8770867,11208
Sowae Corp,Multi-family home,346000,5,2,2184,Ozone Park,"103-12 104th StOzone Park, NY 11417",MANHATTAN,40.6837891,-73.8381042,11417
Sowae Corp,House,265000,3,1,2184,Springfield Gardens,"135-38 224th StSpringfield Gardens, NY 11413",MANHATTAN,40.67538,-73.7472571,11413
Winzone Realty Inc,House,319000,3,2,1224,Staten Island,"57 Neutral AveStaten Island, NY 10306",MANHATTAN,40.5604695,-74.1018925,10306
Corcoran East Side,Townhouse,24800000,6,8,2184,New York,"45 E 74th StNew York, NY 10021",MANHATTAN,40.772929,-73.9635462,10021
Exp Realty,House,1100000,9,4,3276,New York,"421 W 154th StNew York, NY 10032",MANHATTAN,40.8307115,-73.9424229,10032
Sowae Corp,Multi-family home,309000,6,2,2184,Far Rockaway,"2918 Brookhaven AveFar Rockaway, NY 11691",MANHATTAN,40.5980695,-73.7632649,11691
Keller Williams Realty Liberty,House,650000,3,2,1522,Bellerose,"237-14 93rd RdBellerose, NY 11426",MANHATTAN,40.723245,-73.7293286,11426
Rise Realty,House,799000,4,2,1975,Staten Island,"604 Lamont AveStaten Island, NY 10312",MANHATTAN,40.5387812,-74.193378,10312
Berkshire Hathaway HomeServices New York Properties,Co-op,259000,3,2,1089,Bronx,"7E Edgewater Park Unit EBronx, NY 10465",MANHATTAN,40.8246371,-73.8072061,10465
DiTommaso Real Estate,House,1195000,4,4,2704,Staten Island,"52 Indale AveStaten Island, NY 10309",MANHATTAN,40.5143019,-74.2044734,10309
Serhant,Condo,17500000,5,6,5499,New York,"37 Warren St Unit PhcdNew York, NY 10007",MANHATTAN,40.7143354,-74.0087443,10007
Salmon Realty Group,Condo,189000,2,2,966,Staten Island,"20 Cliff St Apt 6DStaten Island, NY 10305",STATEN_ISLAND,40.6109595,-74.060351,10305
Midas Realty,Condo,759000,3,2,1200,Bayside,"206-04 Emily Rd Unit 37MBayside, NY 11360",QUEENS,40.7881763,-73.7877051,11360
ONLY NINE REALTY LLC,House,275000,4,1,2184,Brooklyn,"579 E 29th StBrooklyn, NY 11210",MANHATTAN,40.6366859,-73.9488175,11210
COMPASS,Condo,499000,1,1,630,Manhattan,"157 E 72nd St Apt 8IManhattan, NY 10021",MANHATTAN,40.7702318,-73.9610161,10021
TREBACH REALTY INC,House,1249000,3,2,2184,Bronx,"3021 Arlington AveBronx, NY 10463",MANHATTAN,40.8822913,-73.9137305,10463
Utopia Real Estate,Co-op,69900,2,1,700,Bronx,"61 Edgewater Park Unit BBronx, NY 10465",MANHATTAN,40.8224987,-73.8111568,10465
Rock Realty Inc,Multi-family home,1150000,12,6,5508,Astoria,"32-40 48 StAstoria, NY 11103",MANHATTAN,40.755049,-73.9136386,11103
"Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,3740,New York,"517 W 142nd StNew York, NY 10031",MANHATTAN,40.824015,-73.9502067,10031
Charles H. Greenthal Property,Co-op,1399000,3,4,1993,Floral Park,"269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",QUEENS,40.7566899,-73.72075,11005
Douglas Elliman,Condo,649000,3,2,1182,Fresh Meadows,"163-04 71st Ave Unit 122Fresh Meadows, NY 11365",QUEENS,40.7302938,-73.8059248,11365
WW Realty Group Inc,House,499000,5,2,1760,Bronx,"2774 Marion AveBronx, NY 10458",MANHATTAN,40.8663864,-73.8878945,10458
Julia B. Fee Sotheby's International Realty,Multi-family home,1050000,5,4,3132,Bronx,"2818 Miles AveBronx, NY 10465",MANHATTAN,40.8176549,-73.8197053,10465
COMPASS,Townhouse,5000000,10,9,6425,Manhattan,"137 W 80th StManhattan, NY 10024",MANHATTAN,40.7832598,-73.976047,10024
HOT HOMES REALTY LLC.,Pending,90000,1,1,660,Staten Island,"16 Mapleton AveStaten Island, NY 10306",MANHATTAN,40.574451,-74.0929448,10306
Douglas Elliman,House,56000000,11,10,24000,New York,"9 W 54th StNew York, NY 10019",MANHATTAN,40.7616,-73.9761913,10019
Exp Realty,Townhouse,650000,3,2,1638,Bronx,"1544 Ohm AveBronx, NY 10465",MANHATTAN,40.8454501,-73.8209766,10465
Douglas Elliman,Condo,500000,4,3,1794,New York,"251 W 89th St Apt 6ENew York, NY 10024",MANHATTAN,40.7905714,-73.9753392,10024
Real Estate Property Group LLC,House,350000,2,1,490,Staten Island,"750 Patterson AveStaten Island, NY 10306",MANHATTAN,40.5731273,-74.089182,10306
Corcoran Park Slope,House,1099000,4,2,2184,Queens,"204-34 9th AveQueens, NY 11697",MANHATTAN,40.5595612,-73.9147409,11697
RE MAX Boutique Realty,Co-op,90000,1,1,450,Bronx,"1383 Plimpton Ave Apt 1CBronx, NY 10452",BRONX,40.8423705,-73.9234444,10452
Laffey Real Estate,House,839000,4,2,2184,Howard Beach,"158-35 87th StHoward Beach, NY 11414",MANHATTAN,40.6590909,-73.8451972,11414
CENTURY 21 PROFESSIONAL REALTY,House,659000,8,3,2184,Jamaica,"148-05 111th AveJamaica, NY 11435",MANHATTAN,40.688533,-73.796529,11435
CENTURY 21 PROFESSIONAL REALTY,House,659000,8,3,2184,Jamaica,"148-05 111th AveJamaica, NY 11435",MANHATTAN,40.688533,-73.796529,11435
Anthony Napolitano Homes,House,399999,3,1,2184,Far Rockaway,"178 Beach 24th StFar Rockaway, NY 11691",MANHATTAN,40.5950021,-73.7577376,11691
Homefinders of SI Inc.,Condo,250000,3,1,2184,Brooklyn,"3105 Avenue V Apt 1FBrooklyn, NY 11229",BROOKLYN,40.5997081,-73.9344974,11229
Built by Toll Brothers,For sale,1740000,2,2,1132,New York,"The Rockwell # 6HNew York, NY 10025",MANHATTAN,40.7986579,-73.9679035,10025
Epiphany Realty Llc,House,650000,4,2,2244,Cambria Heights,"115115 220th StCambria Heights, NY 11411",MANHATTAN,40.6968706,-73.7390395,11411
Re/Max Edge,House,1165000,3,4,3500,Staten Island,"67 Dexter AveStaten Island, NY 10309",MANHATTAN,40.5397292,-74.2155251,10309
"Homes R Us Realty of NY, Inc.",House,729900,3,2,1150,Staten Island,"447 Vernon AveStaten Island, NY 10309",MANHATTAN,40.5302132,-74.1981906,10309
Winzone Realty Inc,House,1880000,3,4,3150,Brooklyn,"3758 Bayview AveBrooklyn, NY 11224",MANHATTAN,40.5805262,-74.0061062,11224
Charles H. Greenthal Property,Co-op,449000,2,2,1549,Floral Park,"26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",QUEENS,40.7577991,-73.7159564,11005
Keller Williams City Views,House,1175000,3,2,2250,Rockaway Park,"251 Beach 140th StRockaway Park, NY 11694",MANHATTAN,40.57372,-73.8577786,11694
"Garfield, Leslie J. & Co., Inc.",Townhouse,2750000,3,2,2184,New York,"16 Gay StNew York, NY 10014",MANHATTAN,40.7336687,-74.000518,10014
Hauseit LLC,House,995000,3,2,2184,Howard Beach,"159-03 83rd StHoward Beach, NY 11414",MANHATTAN,40.657686,-73.8489131,11414
COMPASS,Condo,2000000,3,2,2000,Manhattan,"200 Rector Pl Unit 27EFManhattan, NY 10280",MANHATTAN,40.7086444,-74.0161953,10280
Leven Real Estate,Townhouse,15000000,8,6,2184,Brooklyn,"126 Pierrepont StBrooklyn, NY 11201",MANHATTAN,40.6948972,-73.9925741,11201
RE MAX Edge,House,2800000,4,6,8333,Staten Island,"25 Copperleaf TerStaten Island, NY 10304",MANHATTAN,40.5861193,-74.1075476,10304
Keller Williams Rlty Landmark,House,2600000,5,4,3024,Bayside,"214-42 27th AveBayside, NY 11360",MANHATTAN,40.7780417,-73.7739629,11360
Corcoran West Side,Townhouse,3500000,6,6,6000,New York,"51 Hamilton TerNew York, NY 10031",MANHATTAN,40.8229141,-73.9460622,10031
Corcoran East Side,Co-op,550000,1,1,2184,New York,"609 Columbus Ave Apt 10INew York, NY 10024",MANHATTAN,40.7887084,-73.9700091,10024
E House Realty & Mgt. Inc.,Pending,769000,3,4,2184,Staten Island,"290 Lake AveStaten Island, NY 10303",MANHATTAN,40.6291962,-74.1518654,10303
TALK OF THE TOWN REALTY C,House,675000,3,2,2400,Brooklyn,"2519 Mill AveBrooklyn, NY 11234",MANHATTAN,40.610206,-73.91065,11234
Gateway Arms Realty Corp.,House,879000,4,2,1238,Staten Island,"48 Princewood AveStaten Island, NY 10309",MANHATTAN,40.5273247,-74.1983282,10309
KELLER WILLIAMS REALTY LANDMARK II,House,918888,3,2,2184,East Elmhurst,"30-36 88th StEast Elmhurst, NY 11369",MANHATTAN,40.760703,-73.880887,11369
COMPASS,Townhouse,2400000,4,2,1892,Brooklyn,"396 A 9th St Unit 2Brooklyn, NY 11215",MANHATTAN,40.6674938,-73.9832146,11215
Jamie & Connie Real Estate Grp,House,1730000,6,2,3024,Little Neck,"45-12 244th StLittle Neck, NY 11362",MANHATTAN,40.765022,-73.7422005,11362
Sowae Corp,Multi-family home,425000,5,2,2184,Bronx,"755 Coster StBronx, NY 10474",MANHATTAN,40.8159966,-73.8881001,10474
East Coast REALTORS Inc,House,2500000,5,2,1450,Flushing,"33-02 Parsons BlvdFlushing, NY 11354",MANHATTAN,40.7679673,-73.8246067,11354
RE MAX Elite,House,998000,4,4,2000,Staten Island,"336 Bethel AveStaten Island, NY 10307",MANHATTAN,40.515251,-74.235145,10307
Coldwell Banker Advantage,House,1195000,4,4,2688,Staten Island,"222 Hart BlvdStaten Island, NY 10301",MANHATTAN,40.6296431,-74.1005274,10301
RE MAX Real Estate Professionals,House,1649000,3,2,2052,Brooklyn,"1217 84th StBrooklyn, NY 11228",MANHATTAN,40.6164182,-74.0142443,11228
"Homes R Us Realty of NY, Inc.",House,955000,4,4,2100,Staten Island,"82 Vineland AveStaten Island, NY 10312",MANHATTAN,40.551184,-74.1840649,10312
